Time,Vibration,FFT,RPM,Current,Temperature
2026-06-23 14:18:43,0.028,139.602,2760,0.200,26.232
2026-06-23 14:18:43,0.028,139.539,0,0.207,26.230
2026-06-23 14:18:43,0.027,139.934,0,0.201,26.233
2026-06-23 14:18:43,0.028,139.395,0,0.188,26.235
2026-06-23 14:18:43,0.029,139.924,0,0.195,26.229
2026-06-23 14:18:44,0.026,139.657,2760,0.201,26.230
2026-06-23 14:18:44,0.046,133.821,2760,0.197,26.236
2026-06-23 14:18:44,0.059,135.103,2760,0.196,26.239
2026-06-23 14:18:44,0.092,91.939,2760,0.199,26.236
2026-06-23 14:18:44,0.082,319.988,2760,0.205,26.235
2026-06-23 14:18:44,0.083,270.758,2760,0.216,26.237
2026-06-23 14:18:44,0.058,130.354,2760,0.219,26.237
2026-06-23 14:18:44,0.090,173.807,2760,0.223,26.232
2026-06-23 14:18:44,0.096,171.946,2760,0.223,26.238
2026-06-23 14:18:44,0.104,218.366,2760,0.228,26.240
2026-06-23 14:18:45,0.179,300.983,2640,0.233,26.236
2026-06-23 14:18:45,0.117,215.900,2640,0.236,26.238
2026-06-23 14:18:45,0.129,170.942,2640,0.231,26.238
2026-06-23 14:18:45,0.177,211.823,2640,0.235,26.235
2026-06-23 14:18:45,0.153,214.054,2640,0.237,26.237
2026-06-23 14:18:45,0.154,211.536,2640,0.234,26.241
2026-06-23 14:18:45,0.130,211.677,2640,0.235,26.240
2026-06-23 14:18:45,0.114,165.073,2640,0.236,26.242
2026-06-23 14:18:45,0.154,128.781,2640,0.235,26.243
2026-06-23 14:18:45,0.140,88.232,2640,0.231,26.243
2026-06-23 14:18:46,0.157,214.133,2520,0.233,26.243
2026-06-23 14:18:46,0.140,212.018,2520,0.231,26.242
2026-06-23 14:18:46,0.068,401.412,2520,0.228,26.241
2026-06-23 14:18:46,0.089,24.536,2520,0.225,26.244
2026-06-23 14:18:46,0.105,65.636,2520,0.217,26.244
2026-06-23 14:18:46,0.100,174.510,2520,0.220,26.239
2026-06-23 14:18:46,0.063,229.201,2520,0.220,26.237
2026-06-23 14:18:46,0.100,181.428,2520,0.223,26.239
2026-06-23 14:18:46,0.219,130.171,2520,0.230,26.240
2026-06-23 14:18:46,0.206,86.080,2520,0.230,26.242
2026-06-23 14:18:47,0.130,86.868,2640,0.230,26.240
2026-06-23 14:18:47,0.123,85.795,2640,0.227,26.243
2026-06-23 14:18:47,0.156,301.757,2640,0.235,26.243
2026-06-23 14:18:47,0.130,87.030,2640,0.235,26.243
2026-06-23 14:18:47,0.130,86.375,2640,0.231,26.245
2026-06-23 14:18:47,0.159,217.124,2640,0.229,26.244
2026-06-23 14:18:47,0.163,85.099,2640,0.229,26.243
2026-06-23 14:18:47,0.162,85.523,2640,0.232,26.246
2026-06-23 14:18:47,0.181,85.562,2640,0.229,26.245
2026-06-23 14:18:48,0.135,85.972,2520,0.236,26.246
2026-06-23 14:18:48,0.152,169.072,2520,0.238,26.243
2026-06-23 14:18:48,0.176,84.361,2520,0.240,26.241
2026-06-23 14:18:48,0.162,85.519,2520,0.238,26.243
2026-06-23 14:18:48,0.149,85.732,2520,0.238,26.240
2026-06-23 14:18:48,0.147,85.978,2640,0.241,26.245
2026-06-23 14:18:48,0.183,85.459,2640,0.233,26.243
2026-06-23 14:18:48,0.162,213.305,2640,0.235,26.243
2026-06-23 14:18:48,0.152,87.153,2640,0.234,26.242
2026-06-23 14:18:48,0.132,300.901,2640,0.228,26.240
2026-06-23 14:18:49,0.138,217.936,2520,0.227,26.244
2026-06-23 14:18:49,0.113,306.679,2520,0.230,26.242
2026-06-23 14:18:49,0.121,176.847,2520,0.229,26.242
2026-06-23 14:18:49,0.113,179.243,2520,0.227,26.240
2026-06-23 14:18:49,0.112,132.479,2520,0.227,26.239
2026-06-23 14:18:49,0.208,129.339,2640,0.230,26.243
2026-06-23 14:18:49,0.193,84.504,2640,0.237,26.241
2026-06-23 14:18:49,0.135,87.904,2640,0.230,26.243
2026-06-23 14:18:49,0.140,172.484,2640,0.236,26.240
2026-06-23 14:18:49,0.276,215.924,2640,0.238,26.240
2026-06-23 14:18:50,0.139,206.477,2520,0.248,26.240
2026-06-23 14:18:50,0.147,288.533,2520,0.252,26.242
2026-06-23 14:18:50,0.148,205.093,2520,0.256,26.240
2026-06-23 14:18:50,0.131,289.001,2520,0.253,26.247
2026-06-23 14:18:50,0.087,168.097,2520,0.241,26.244
2026-06-23 14:18:50,0.104,164.163,2520,0.241,26.241
2026-06-23 14:18:50,0.112,43.863,2520,0.242,26.241
2026-06-23 14:18:50,0.071,128.365,2520,0.231,26.241
2026-06-23 14:18:50,0.064,191.024,2520,0.230,26.242
2026-06-23 14:18:50,0.091,109.812,2520,0.231,26.245
2026-06-23 14:18:51,0.099,18.249,2520,0.223,26.240
2026-06-23 14:18:51,0.112,177.354,2520,0.231,26.245
2026-06-23 14:18:51,0.083,142.770,2520,0.232,26.239
2026-06-23 14:18:51,0.113,174.420,2520,0.221,26.241
2026-06-23 14:18:51,0.114,135.001,2520,0.225,26.243
2026-06-23 14:18:51,0.082,618.368,2640,0.231,26.246
2026-06-23 14:18:51,0.217,132.001,2640,0.236,26.244
2026-06-23 14:18:51,0.163,86.011,2640,0.233,26.243
2026-06-23 14:18:51,0.148,86.153,2640,0.239,26.240
2026-06-23 14:18:52,0.125,85.746,2640,0.240,26.245
2026-06-23 14:18:52,0.123,86.462,2640,0.230,26.241
2026-06-23 14:18:52,0.123,87.197,2640,0.234,26.244
2026-06-23 14:18:52,0.141,172.587,2640,0.235,26.246
2026-06-23 14:18:52,0.126,43.989,2640,0.229,26.242
2026-06-23 14:18:52,0.120,123.341,2640,0.226,26.246
2026-06-23 14:18:52,0.037,132.334,2640,0.220,26.237
2026-06-23 14:18:52,0.013,134.848,2640,0.222,26.240
2026-06-23 14:18:52,0.028,136.085,2640,0.212,26.242
2026-06-23 14:18:52,0.024,135.715,2640,0.213,26.243
2026-06-23 14:18:53,0.020,137.201,2640,0.214,26.242
2026-06-23 14:18:53,0.022,138.104,2640,0.207,26.244
2026-06-23 14:18:53,0.019,137.555,2640,0.209,26.243
2026-06-23 14:18:53,0.023,138.192,2640,0.211,26.242
2026-06-23 14:18:53,0.026,138.187,2640,0.208,26.237
2026-06-23 14:18:53,0.022,138.154,2880,0.209,26.240
2026-06-23 14:18:53,0.028,138.513,2880,0.208,26.241
2026-06-23 14:18:53,0.028,138.789,2880,0.211,26.240
2026-06-23 14:18:53,0.029,139.546,2880,0.207,26.232
2026-06-23 14:18:53,0.024,138.999,2880,0.205,26.233
2026-06-23 14:18:54,0.031,137.701,2760,0.208,26.234
2026-06-23 14:18:54,0.026,139.060,2760,0.215,26.234
2026-06-23 14:18:54,0.023,139.432,2760,0.209,26.235
2026-06-23 14:18:54,0.028,140.645,2760,0.214,26.234
2026-06-23 14:18:54,0.027,138.890,2760,0.214,26.231
2026-06-23 14:18:54,0.029,139.646,2760,0.205,26.224
2026-06-23 14:18:54,0.029,138.008,2760,0.207,26.229
2026-06-23 14:18:54,0.029,139.315,2760,0.208,26.229
2026-06-23 14:18:54,0.029,139.576,2760,0.217,26.235
2026-06-23 14:18:54,0.023,140.271,2760,0.217,26.230
2026-06-23 14:18:55,0.028,138.783,2760,0.217,26.233
2026-06-23 14:18:55,0.027,138.906,2760,0.209,26.232
2026-06-23 14:18:55,0.031,140.458,2760,0.206,26.232
2026-06-23 14:18:55,0.028,138.335,2760,0.208,26.233
2026-06-23 14:18:55,0.027,140.158,2760,0.211,26.234
2026-06-23 14:18:55,0.028,139.622,2760,0.209,26.239
2026-06-23 14:18:55,0.035,139.716,2760,0.213,26.236
2026-06-23 14:18:55,0.026,139.543,2760,0.217,26.237
2026-06-23 14:18:55,0.033,140.636,2760,0.207,26.237
2026-06-23 14:18:55,0.023,140.891,2760,0.210,26.237
2026-06-23 14:18:56,0.026,139.965,2880,0.215,26.237
2026-06-23 14:18:56,0.024,139.724,2880,0.217,26.238
2026-06-23 14:18:56,0.026,139.830,2880,0.214,26.232
2026-06-23 14:18:56,0.033,140.105,2880,0.215,26.237
2026-06-23 14:18:56,0.027,141.321,2760,0.218,26.234
2026-06-23 14:18:56,0.027,140.387,2760,0.216,26.231
2026-06-23 14:18:56,0.031,140.995,2760,0.216,26.226
2026-06-23 14:18:56,0.040,139.856,2760,0.217,26.231
2026-06-23 14:18:56,0.024,139.246,2760,0.221,26.235
2026-06-23 14:18:57,0.023,139.182,2760,0.223,26.238
2026-06-23 14:18:57,0.033,140.133,2760,0.216,26.236
2026-06-23 14:18:57,0.040,139.888,2760,0.212,26.238
2026-06-23 14:18:57,0.027,138.108,2760,0.213,26.237
2026-06-23 14:18:57,0.031,140.301,2760,0.211,26.237
2026-06-23 14:18:57,0.031,139.626,2880,0.209,26.232
2026-06-23 14:18:57,0.029,139.666,2880,0.210,26.235
2026-06-23 14:18:57,0.026,139.984,2880,0.210,26.239
2026-06-23 14:18:57,0.027,139.439,2880,0.205,26.237
2026-06-23 14:18:57,0.032,140.288,2880,0.202,26.241
2026-06-23 14:18:58,0.026,140.853,2760,0.208,26.236
2026-06-23 14:18:58,0.026,138.833,2760,0.212,26.240
