Time,Vibration,FFT,RPM,Current,Temperature
2026-06-23 19:11:45,0.011,142.857,0,0.221,27.266
2026-06-23 19:11:45,0.011,45.827,0,0.216,27.267
2026-06-23 19:11:45,0.011,133.952,0,0.217,27.268
2026-06-23 19:11:45,0.011,44.119,0,0.213,27.268
2026-06-23 19:11:45,0.011,46.290,0,0.221,27.269
2026-06-23 19:11:45,0.011,46.154,2640,0.222,27.271
2026-06-23 19:11:45,0.011,45.191,2640,0.227,27.265
2026-06-23 19:11:45,0.014,44.371,2640,0.223,27.267
2026-06-23 19:11:45,0.011,43.933,2640,0.223,27.268
2026-06-23 19:11:46,0.011,48.513,2640,0.225,27.268
2026-06-23 19:11:46,0.011,45.433,2760,0.224,27.267
2026-06-23 19:11:46,0.017,45.382,2760,0.221,27.265
2026-06-23 19:11:46,0.014,45.155,2760,0.224,27.270
2026-06-23 19:11:46,0.011,44.676,2760,0.219,27.261
2026-06-23 19:11:46,0.015,44.931,2760,0.223,27.269
2026-06-23 19:11:46,0.015,46.004,2760,0.231,27.263
2026-06-23 19:11:46,0.011,44.815,2760,0.222,27.267
2026-06-23 19:11:46,0.011,44.351,2760,0.225,27.268
2026-06-23 19:11:46,0.014,46.352,2760,0.218,27.265
2026-06-23 19:11:47,0.013,45.256,2760,0.220,27.263
2026-06-23 19:11:47,0.015,46.435,2760,0.222,27.265
2026-06-23 19:11:47,0.011,43.831,2760,0.220,27.263
2026-06-23 19:11:47,0.013,45.938,2760,0.224,27.264
2026-06-23 19:11:47,0.014,44.944,2760,0.223,27.265
2026-06-23 19:11:47,0.013,44.651,2760,0.223,27.265
2026-06-23 19:11:47,0.018,44.838,2760,0.224,27.260
2026-06-23 19:11:47,0.011,46.872,2760,0.224,27.263
2026-06-23 19:11:47,0.014,45.375,2760,0.228,27.258
2026-06-23 19:11:47,0.013,186.640,2760,0.218,27.260
2026-06-23 19:11:48,0.013,143.959,2760,0.228,27.259
2026-06-23 19:11:48,0.010,48.606,2760,0.219,27.259
2026-06-23 19:11:48,0.013,45.532,2760,0.224,27.262
2026-06-23 19:11:48,0.014,47.168,2760,0.219,27.255
2026-06-23 19:11:48,0.011,45.828,2760,0.214,27.252
2026-06-23 19:11:48,0.013,184.469,2760,0.219,27.257
2026-06-23 19:11:48,0.013,45.971,2760,0.218,27.257
2026-06-23 19:11:48,0.014,47.720,2760,0.221,27.255
2026-06-23 19:11:48,0.017,183.028,2760,0.221,27.257
2026-06-23 19:11:48,0.011,44.884,2760,0.225,27.255
2026-06-23 19:11:49,0.017,47.747,2760,0.219,27.257
2026-06-23 19:11:49,0.015,46.136,2760,0.219,27.254
2026-06-23 19:11:49,0.014,45.251,2760,0.224,27.255
2026-06-23 19:11:49,0.014,45.913,2760,0.217,27.254
2026-06-23 19:11:49,0.011,44.125,2760,0.214,27.252
2026-06-23 19:11:49,0.013,47.139,2760,0.219,27.254
2026-06-23 19:11:49,0.013,597.161,2760,0.218,27.252
2026-06-23 19:11:49,0.014,45.991,2760,0.221,27.252
2026-06-23 19:11:49,0.014,46.724,2760,0.222,27.252
2026-06-23 19:11:49,0.013,44.907,2760,0.225,27.249
2026-06-23 19:11:50,0.015,45.605,2760,0.227,27.251
2026-06-23 19:11:50,0.011,44.277,2760,0.221,27.250
2026-06-23 19:11:50,0.014,45.262,2760,0.222,27.252
2026-06-23 19:11:50,0.014,46.250,2760,0.226,27.252
2026-06-23 19:11:50,0.013,44.811,2760,0.226,27.246
2026-06-23 19:11:50,0.011,46.988,2760,0.228,27.246
2026-06-23 19:11:50,0.013,47.312,2760,0.225,27.246
2026-06-23 19:11:50,0.011,45.671,2760,0.224,27.248
2026-06-23 19:11:50,0.013,46.320,2760,0.224,27.244
2026-06-23 19:11:51,0.014,46.466,2760,0.222,27.248
2026-06-23 19:11:51,0.013,46.416,2760,0.226,27.244
2026-06-23 19:11:51,0.011,182.564,2760,0.224,27.241
2026-06-23 19:11:51,0.015,46.377,2760,0.227,27.243
2026-06-23 19:11:51,0.014,46.607,2760,0.217,27.241
2026-06-23 19:11:51,0.011,140.546,2760,0.223,27.238
2026-06-23 19:11:51,0.014,47.400,2760,0.224,27.239
2026-06-23 19:11:51,0.011,46.964,2760,0.223,27.244
2026-06-23 19:11:51,0.015,46.707,2760,0.219,27.240
2026-06-23 19:11:51,0.013,46.165,2760,0.215,27.237
2026-06-23 19:11:52,0.015,47.320,2760,0.223,27.243
2026-06-23 19:11:52,0.014,45.095,2760,0.220,27.237
2026-06-23 19:11:52,0.013,45.220,2760,0.220,27.239
2026-06-23 19:11:52,0.015,47.441,2760,0.223,27.240
2026-06-23 19:11:52,0.013,46.316,2760,0.228,27.237
2026-06-23 19:11:52,0.010,368.674,2760,0.231,27.241
2026-06-23 19:11:52,0.011,45.189,2760,0.228,27.238
2026-06-23 19:11:52,0.014,186.577,2760,0.225,27.237
2026-06-23 19:11:52,0.015,45.624,2760,0.224,27.238
2026-06-23 19:11:52,0.019,46.085,2760,0.224,27.236
2026-06-23 19:11:53,0.011,47.721,2760,0.223,27.234
2026-06-23 19:11:53,0.011,45.610,2760,0.220,27.236
2026-06-23 19:11:53,0.013,46.776,2760,0.218,27.238
2026-06-23 19:11:53,0.013,45.980,2760,0.217,27.236
2026-06-23 19:11:53,0.010,43.777,2760,0.219,27.238
2026-06-23 19:11:53,0.013,44.992,2760,0.212,27.229
2026-06-23 19:11:53,0.015,46.493,2760,0.225,27.230
2026-06-23 19:11:53,0.013,47.156,2760,0.224,27.228
2026-06-23 19:11:53,0.017,45.985,2760,0.226,27.234
2026-06-23 19:11:53,0.011,45.245,2760,0.222,27.229
2026-06-23 19:11:54,0.013,47.687,2760,0.222,27.226
2026-06-23 19:11:54,0.011,44.304,2760,0.224,27.227
2026-06-23 19:11:54,0.011,45.320,2760,0.224,27.224
2026-06-23 19:11:54,0.011,47.076,2760,0.226,27.224
2026-06-23 19:11:54,0.013,46.422,2760,0.227,27.221
2026-06-23 19:11:54,0.018,44.453,2760,0.227,27.222
2026-06-23 19:11:54,0.011,44.993,2760,0.220,27.216
2026-06-23 19:11:54,0.015,43.785,2760,0.218,27.221
2026-06-23 19:11:54,0.014,44.571,2760,0.223,27.220
2026-06-23 19:11:55,0.011,47.153,2760,0.225,27.212
2026-06-23 19:11:55,0.010,46.183,2760,0.220,27.212
2026-06-23 19:11:55,0.013,144.413,2760,0.218,27.211
2026-06-23 19:11:55,0.011,46.689,2760,0.218,27.213
2026-06-23 19:11:55,0.011,44.831,2760,0.217,27.204
2026-06-23 19:11:55,0.013,45.108,2760,0.222,27.210
2026-06-23 19:11:55,0.011,45.889,2760,0.223,27.201
2026-06-23 19:11:55,0.011,45.864,2760,0.226,27.194
2026-06-23 19:11:55,0.015,134.725,2760,0.226,27.197
2026-06-23 19:11:55,0.017,45.408,2760,0.224,27.197
2026-06-23 19:11:56,0.013,137.602,2760,0.222,27.191
2026-06-23 19:11:56,0.014,46.759,2760,0.227,27.190
2026-06-23 19:11:56,0.013,44.861,2760,0.223,27.190
2026-06-23 19:11:56,0.013,44.511,2760,0.224,27.188
2026-06-23 19:11:56,0.014,47.081,2760,0.217,27.185
2026-06-23 19:11:56,0.011,595.295,2760,0.228,27.185
2026-06-23 19:11:56,0.014,45.480,2640,0.220,27.182
2026-06-23 19:11:56,0.015,44.607,2640,0.226,27.185
2026-06-23 19:11:56,0.013,45.624,2640,0.222,27.180
2026-06-23 19:11:56,0.013,46.784,2640,0.228,27.174
2026-06-23 19:11:57,0.013,45.152,2640,0.222,27.182
2026-06-23 19:11:57,0.017,44.539,2760,0.227,27.174
2026-06-23 19:11:57,0.011,45.880,2760,0.230,27.174
2026-06-23 19:11:57,0.019,46.449,2760,0.225,27.172
2026-06-23 19:11:57,0.011,44.618,2760,0.226,27.171
2026-06-23 19:11:57,0.013,185.221,2760,0.227,27.169
2026-06-23 19:11:57,0.011,45.676,2760,0.229,27.171
2026-06-23 19:11:57,0.014,44.024,2760,0.226,27.170
2026-06-23 19:11:57,0.011,45.754,2760,0.223,27.166
2026-06-23 19:11:57,0.011,45.235,2760,0.228,27.166
2026-06-23 19:11:58,0.014,44.106,2760,0.237,27.165
2026-06-23 19:11:58,0.015,46.332,2760,0.227,27.162
2026-06-23 19:11:58,0.020,45.901,2760,0.227,27.157
2026-06-23 19:11:58,0.011,45.255,2760,0.225,27.160
2026-06-23 19:11:58,0.011,46.495,2760,0.230,27.159
2026-06-23 19:11:58,0.018,366.209,2760,0.223,27.153
2026-06-23 19:11:58,0.011,45.022,2760,0.224,27.156
2026-06-23 19:11:58,0.013,45.628,2760,0.228,27.155
2026-06-23 19:11:58,0.011,45.885,2760,0.224,27.155
2026-06-23 19:11:59,0.011,44.704,2760,0.229,27.150
2026-06-23 19:11:59,0.018,45.447,2760,0.229,27.147
2026-06-23 19:11:59,0.018,473.493,2760,0.225,27.148
2026-06-23 19:11:59,0.013,185.115,2760,0.219,27.143
2026-06-23 19:11:59,0.017,43.682,2760,0.221,27.144
2026-06-23 19:11:59,0.010,45.479,2760,0.221,27.144
2026-06-23 19:11:59,0.014,45.985,2760,0.225,27.143
2026-06-23 19:11:59,0.014,43.972,2760,0.217,27.146
2026-06-23 19:11:59,0.013,44.208,2760,0.216,27.140
2026-06-23 19:11:59,0.011,44.544,2760,0.214,27.140
2026-06-23 19:12:00,0.011,47.178,2760,0.222,27.138
2026-06-23 19:12:00,0.010,44.235,2760,0.217,27.136
2026-06-23 19:12:00,0.011,45.992,2760,0.220,27.140
2026-06-23 19:12:00,0.011,46.366,2760,0.212,27.140
2026-06-23 19:12:00,0.014,45.932,2760,0.217,27.135
2026-06-23 19:12:00,0.011,358.563,2760,0.217,27.137
2026-06-23 19:12:00,0.013,47.099,2640,0.225,27.137
2026-06-23 19:12:00,0.013,45.969,2640,0.225,27.138
2026-06-23 19:12:00,0.013,45.597,2640,0.219,27.135
2026-06-23 19:12:00,0.011,359.642,2640,0.217,27.136
2026-06-23 19:12:01,0.014,43.296,2640,0.222,27.138
2026-06-23 19:12:01,0.014,359.164,2760,0.223,27.132
2026-06-23 19:12:01,0.011,45.896,2760,0.214,27.138
2026-06-23 19:12:01,0.013,138.675,2760,0.218,27.134
2026-06-23 19:12:01,0.014,47.234,2760,0.219,27.133
2026-06-23 19:12:01,0.011,360.229,2760,0.215,27.130
2026-06-23 19:12:01,0.011,46.066,2640,0.217,27.133
2026-06-23 19:12:01,0.011,362.715,2640,0.214,27.128
2026-06-23 19:12:01,0.011,138.036,2640,0.212,27.132
2026-06-23 19:12:01,0.011,181.685,2640,0.218,27.127
2026-06-23 19:12:02,0.011,45.901,2640,0.218,27.130
2026-06-23 19:12:02,0.010,137.617,2760,0.218,27.126
2026-06-23 19:12:02,0.013,360.275,2760,0.218,27.128
2026-06-23 19:12:02,0.011,46.065,2760,0.221,27.126
2026-06-23 19:12:02,0.011,47.805,2760,0.220,27.129
2026-06-23 19:12:02,0.011,47.011,2640,0.223,27.128
2026-06-23 19:12:02,0.013,46.144,2640,0.220,27.124
2026-06-23 19:12:02,0.011,139.824,2640,0.229,27.124
2026-06-23 19:12:02,0.019,183.463,2640,0.216,27.124
2026-06-23 19:12:03,0.015,47.127,2640,0.207,27.122
2026-06-23 19:12:03,0.011,45.150,2760,0.215,27.121
2026-06-23 19:12:03,0.011,46.160,2760,0.212,27.123
2026-06-23 19:12:03,0.011,45.446,2760,0.211,27.119
2026-06-23 19:12:03,0.011,43.453,2760,0.215,27.120
2026-06-23 19:12:03,0.011,138.139,2760,0.213,27.122
2026-06-23 19:12:03,0.011,181.147,2760,0.215,27.119
2026-06-23 19:12:03,0.014,357.930,2760,0.213,27.122
2026-06-23 19:12:03,0.011,178.148,2760,0.208,27.112
2026-06-23 19:12:03,0.015,45.511,2760,0.212,27.117
2026-06-23 19:12:04,0.014,180.396,2760,0.215,27.118
2026-06-23 19:12:04,0.011,47.137,2640,0.215,27.115
2026-06-23 19:12:04,0.020,363.740,2640,0.214,27.114
2026-06-23 19:12:04,0.011,180.919,2640,0.212,27.118
2026-06-23 19:12:04,0.011,44.746,2640,0.215,27.114
2026-06-23 19:12:04,0.013,43.575,2640,0.210,27.116
2026-06-23 19:12:04,0.011,314.254,2760,0.213,27.113
2026-06-23 19:12:04,0.011,45.239,2760,0.213,27.111
2026-06-23 19:12:04,0.013,181.899,2760,0.213,27.109
2026-06-23 19:12:04,0.011,178.335,2760,0.207,27.111
2026-06-23 19:12:05,0.011,45.939,2760,0.204,27.112
2026-06-23 19:12:05,0.015,180.076,2640,0.208,27.108
2026-06-23 19:12:05,0.017,139.318,2640,0.207,27.110
2026-06-23 19:12:05,0.011,140.871,2640,0.210,27.111
2026-06-23 19:12:05,0.011,139.328,2640,0.206,27.107
2026-06-23 19:12:05,0.013,49.538,2640,0.209,27.111
2026-06-23 19:12:05,0.013,139.630,2640,0.206,27.108
2026-06-23 19:12:05,0.011,46.623,2640,0.208,27.107
2026-06-23 19:12:05,0.011,48.175,2640,0.211,27.107
2026-06-23 19:12:05,0.011,133.943,2640,0.216,27.112
2026-06-23 19:12:06,0.011,182.480,2640,0.209,27.107
2026-06-23 19:12:06,0.011,45.295,2760,0.208,27.102
2026-06-23 19:12:06,0.011,357.310,2760,0.213,27.102
2026-06-23 19:12:06,0.013,178.809,2760,0.210,27.101
2026-06-23 19:12:06,0.011,47.107,2760,0.200,27.100
2026-06-23 19:12:06,0.011,44.175,2640,0.206,27.106
2026-06-23 19:12:06,0.011,179.023,2640,0.226,27.098
2026-06-23 19:12:06,0.013,359.087,2640,0.219,27.101
2026-06-23 19:12:06,0.011,139.553,2640,0.209,27.097
2026-06-23 19:12:06,0.013,46.078,2640,0.207,27.098
2026-06-23 19:12:07,0.011,44.749,2760,0.206,27.101
2026-06-23 19:12:07,0.013,181.494,2760,0.212,27.094
2026-06-23 19:12:07,0.010,358.932,2760,0.208,27.098
2026-06-23 19:12:07,0.014,311.924,2760,0.212,27.100
2026-06-23 19:12:07,0.011,44.248,2760,0.217,27.098
2026-06-23 19:12:07,0.010,48.524,2640,0.212,27.094
2026-06-23 19:12:07,0.014,43.578,2640,0.217,27.092
2026-06-23 19:12:07,0.018,134.000,2640,0.218,27.090
2026-06-23 19:12:07,0.013,47.094,2640,0.218,27.096
2026-06-23 19:12:08,0.011,140.427,2640,0.212,27.095
2026-06-23 19:12:08,0.018,181.835,2760,0.215,27.091
2026-06-23 19:12:08,0.013,46.416,2760,0.214,27.089
2026-06-23 19:12:08,0.013,637.721,2760,0.215,27.092
2026-06-23 19:12:08,0.011,181.452,2760,0.214,27.090
2026-06-23 19:12:08,0.011,44.320,2760,0.217,27.092
2026-06-23 19:12:08,0.010,140.040,2640,0.215,27.092
2026-06-23 19:12:08,0.013,179.045,2640,0.216,27.087
2026-06-23 19:12:08,0.011,48.535,2640,0.214,27.091
2026-06-23 19:12:08,0.013,182.051,2640,0.211,27.087
2026-06-23 19:12:09,0.014,46.354,2640,0.216,27.087
2026-06-23 19:12:09,0.011,179.072,2760,0.217,27.090
2026-06-23 19:12:09,0.010,579.937,2760,0.218,27.085
2026-06-23 19:12:09,0.013,45.887,2760,0.212,27.091
2026-06-23 19:12:09,0.011,44.568,2760,0.211,27.090
2026-06-23 19:12:09,0.013,179.178,2760,0.211,27.083
2026-06-23 19:12:09,0.011,177.381,2640,0.209,27.081
2026-06-23 19:12:09,0.011,144.492,2640,0.217,27.083
2026-06-23 19:12:09,0.011,46.258,2640,0.222,27.083
2026-06-23 19:12:09,0.011,44.676,2640,0.217,27.087
2026-06-23 19:12:10,0.010,44.243,2640,0.216,27.089
2026-06-23 19:12:10,0.011,181.149,2760,0.217,27.086
2026-06-23 19:12:10,0.013,46.866,2760,0.217,27.086
2026-06-23 19:12:10,0.011,179.106,2760,0.228,27.081
2026-06-23 19:12:10,0.011,180.734,2760,0.217,27.083
2026-06-23 19:12:10,0.015,45.304,2760,0.220,27.082
2026-06-23 19:12:10,0.018,181.350,2640,0.218,27.083
2026-06-23 19:12:10,0.014,358.457,2640,0.212,27.081
2026-06-23 19:12:10,0.011,359.426,2640,0.217,27.081
2026-06-23 19:12:10,0.010,180.080,2640,0.217,27.082
2026-06-23 19:12:11,0.011,177.779,2640,0.220,27.080
2026-06-23 19:12:11,0.011,44.008,2640,0.222,27.079
2026-06-23 19:12:11,0.011,140.720,2640,0.213,27.073
2026-06-23 19:12:11,0.011,45.122,2640,0.214,27.079
2026-06-23 19:12:11,0.011,44.382,2640,0.213,27.070
2026-06-23 19:12:11,0.013,44.047,2760,0.221,27.076
2026-06-23 19:12:11,0.010,357.793,2760,0.213,27.078
2026-06-23 19:12:11,0.011,133.177,2760,0.222,27.073
2026-06-23 19:12:11,0.011,42.241,2760,0.218,27.073
2026-06-23 19:12:12,0.011,45.623,2760,0.209,27.076
2026-06-23 19:12:12,0.011,181.172,2640,0.214,27.074
2026-06-23 19:12:12,0.011,44.746,2640,0.211,27.074
2026-06-23 19:12:12,0.011,176.181,2640,0.210,27.080
2026-06-23 19:12:12,0.011,139.113,2640,0.219,27.074
2026-06-23 19:12:12,0.011,46.580,2640,0.217,27.073
2026-06-23 19:12:12,0.017,180.836,2760,0.214,27.074
2026-06-23 19:12:12,0.014,180.448,2760,0.217,27.070
2026-06-23 19:12:12,0.011,358.466,2760,0.214,27.069
2026-06-23 19:12:12,0.014,359.599,2760,0.212,27.068
2026-06-23 19:12:13,0.013,179.385,2760,0.218,27.066
2026-06-23 19:12:13,0.011,45.190,2640,0.215,27.068
2026-06-23 19:12:13,0.014,180.677,2640,0.213,27.059
2026-06-23 19:12:13,0.011,179.782,2640,0.210,27.060
2026-06-23 19:12:13,0.011,358.461,2640,0.204,27.063
2026-06-23 19:12:13,0.011,44.066,2640,0.213,27.056
2026-06-23 19:12:13,0.015,181.184,2760,0.208,27.056
2026-06-23 19:12:13,0.013,45.945,2760,0.216,27.056
2026-06-23 19:12:13,0.013,179.967,2760,0.215,27.055
2026-06-23 19:12:13,0.011,179.548,2760,0.218,27.048
2026-06-23 19:12:14,0.013,45.688,2760,0.212,27.047
2026-06-23 19:12:14,0.011,178.565,2640,0.212,27.053
2026-06-23 19:12:14,0.015,139.036,2640,0.215,27.048
2026-06-23 19:12:14,0.015,45.174,2640,0.210,27.048
2026-06-23 19:12:14,0.017,141.355,2640,0.211,27.044
2026-06-23 19:12:14,0.011,45.416,2640,0.218,27.041
2026-06-23 19:12:14,0.011,181.176,2640,0.216,27.042
2026-06-23 19:12:14,0.011,357.929,2640,0.215,27.045
2026-06-23 19:12:14,0.011,357.160,2640,0.208,27.044
2026-06-23 19:12:14,0.011,182.269,2640,0.214,27.038
2026-06-23 19:12:15,0.014,362.095,2640,0.203,27.038
2026-06-23 19:12:15,0.013,45.427,2760,0.211,27.039
2026-06-23 19:12:15,0.011,361.683,2760,0.217,27.036
2026-06-23 19:12:15,0.014,44.056,2760,0.212,27.040
2026-06-23 19:12:15,0.015,44.712,2760,0.218,27.041
2026-06-23 19:12:15,0.010,180.575,2640,0.213,27.038
2026-06-23 19:12:15,0.011,180.027,2640,0.223,27.037
2026-06-23 19:12:15,0.013,358.146,2640,0.222,27.038
2026-06-23 19:12:15,0.014,180.752,2640,0.210,27.040
2026-06-23 19:12:16,0.013,180.023,2640,0.214,27.035
2026-06-23 19:12:16,0.013,44.999,2760,0.217,27.034
2026-06-23 19:12:16,0.014,139.734,2760,0.214,27.037
2026-06-23 19:12:16,0.013,133.895,2760,0.210,27.033
2026-06-23 19:12:16,0.011,44.226,2760,0.218,27.035
2026-06-23 19:12:16,0.011,139.992,2760,0.218,27.031
2026-06-23 19:12:16,0.013,142.212,2640,0.210,27.033
2026-06-23 19:12:16,0.011,42.118,2640,0.214,27.029
2026-06-23 19:12:16,0.015,180.575,2640,0.212,27.031
2026-06-23 19:12:16,0.011,175.166,2640,0.209,27.029
2026-06-23 19:12:17,0.014,182.350,2640,0.221,27.028
2026-06-23 19:12:17,0.013,141.521,2760,0.218,27.029
2026-06-23 19:12:17,0.011,45.394,2760,0.210,27.029
2026-06-23 19:12:17,0.011,177.315,2760,0.214,27.024
2026-06-23 19:12:17,0.015,180.829,2760,0.217,27.029
2026-06-23 19:12:17,0.013,178.110,2760,0.214,27.026
2026-06-23 19:12:17,0.011,180.588,2640,0.217,27.026
2026-06-23 19:12:17,0.011,180.526,2640,0.216,27.025
2026-06-23 19:12:17,0.011,46.349,2640,0.215,27.024
2026-06-23 19:12:17,0.011,182.272,2640,0.216,27.025
2026-06-23 19:12:18,0.013,180.350,2640,0.210,27.023
2026-06-23 19:12:18,0.011,45.868,2640,0.212,27.024
2026-06-23 19:12:18,0.010,180.763,2640,0.215,27.021
2026-06-23 19:12:18,0.011,138.133,2640,0.213,27.022
2026-06-23 19:12:18,0.011,43.436,2640,0.212,27.024
2026-06-23 19:12:18,0.017,180.474,2640,0.207,27.020
2026-06-23 19:12:18,0.011,47.502,2760,0.212,27.026
2026-06-23 19:12:18,0.011,43.912,2760,0.209,27.022
2026-06-23 19:12:18,0.014,180.252,2760,0.204,27.020
2026-06-23 19:12:18,0.011,45.290,2760,0.207,27.018
2026-06-23 19:12:19,0.010,179.793,2760,0.210,27.016
2026-06-23 19:12:19,0.013,140.166,2640,0.212,27.023
2026-06-23 19:12:19,0.011,46.800,2640,0.214,27.016
2026-06-23 19:12:19,0.011,360.336,2640,0.215,27.020
2026-06-23 19:12:19,0.014,179.019,2640,0.209,27.015
2026-06-23 19:12:19,0.011,180.360,2760,0.209,27.020
2026-06-23 19:12:19,0.011,44.553,2760,0.208,27.018
2026-06-23 19:12:19,0.010,179.030,2760,0.215,27.016
2026-06-23 19:12:19,0.013,48.139,2760,0.212,27.014
2026-06-23 19:12:19,0.011,179.835,2760,0.218,27.016
2026-06-23 19:12:20,0.011,179.997,2640,0.219,27.013
2026-06-23 19:12:20,0.011,180.180,2640,0.211,27.013
2026-06-23 19:12:20,0.011,43.821,2640,0.217,27.014
2026-06-23 19:12:20,0.011,46.046,2640,0.217,27.013
2026-06-23 19:12:20,0.013,362.607,2640,0.219,27.013
2026-06-23 19:12:20,0.010,359.384,2760,0.218,27.009
2026-06-23 19:12:20,0.011,44.526,2760,0.217,27.009
2026-06-23 19:12:20,0.014,182.772,2760,0.216,27.008
2026-06-23 19:12:20,0.011,45.385,2760,0.208,27.008
2026-06-23 19:12:21,0.013,46.099,2760,0.215,27.008
2026-06-23 19:12:21,0.015,138.843,2640,0.211,27.002
2026-06-23 19:12:21,0.014,45.300,2640,0.216,27.007
2026-06-23 19:12:21,0.010,45.895,2640,0.211,27.005
2026-06-23 19:12:21,0.011,182.412,2640,0.211,27.003
2026-06-23 19:12:21,0.011,45.753,2640,0.216,27.006
2026-06-23 19:12:21,0.011,358.919,2760,0.221,27.001
2026-06-23 19:12:21,0.011,139.955,2760,0.225,27.000
2026-06-23 19:12:21,0.014,48.246,2760,0.222,27.003
2026-06-23 19:12:21,0.014,181.841,2760,0.220,26.999
2026-06-23 19:12:22,0.011,181.456,2760,0.220,26.997
2026-06-23 19:12:22,0.014,45.697,2640,0.219,26.995
2026-06-23 19:12:22,0.015,45.721,2640,0.218,26.997
2026-06-23 19:12:22,0.014,141.887,2640,0.222,26.997
2026-06-23 19:12:22,0.017,181.547,2640,0.222,26.996
2026-06-23 19:12:22,0.014,44.916,2640,0.221,26.999
2026-06-23 19:12:22,0.014,44.616,2760,0.219,26.995
2026-06-23 19:12:22,0.011,44.859,2760,0.219,26.996
2026-06-23 19:12:22,0.013,45.165,2760,0.217,26.993
2026-06-23 19:12:22,0.013,43.516,2760,0.223,26.990
2026-06-23 19:12:23,0.011,46.768,2760,0.224,26.992
2026-06-23 19:12:23,0.010,45.458,2760,0.211,26.990
2026-06-23 19:12:23,0.014,180.098,2760,0.219,26.990
2026-06-23 19:12:23,0.011,46.844,2760,0.215,26.985
2026-06-23 19:12:23,0.011,181.240,2760,0.209,26.991
2026-06-23 19:12:23,0.011,361.740,2760,0.219,26.988
2026-06-23 19:12:23,0.011,360.778,2640,0.209,26.986
2026-06-23 19:12:23,0.013,45.084,2640,0.211,26.983
2026-06-23 19:12:23,0.013,178.927,2640,0.209,26.986
2026-06-23 19:12:23,0.011,44.415,2640,0.215,26.981
2026-06-23 19:12:24,0.014,181.616,2760,0.212,26.984
2026-06-23 19:12:24,0.011,357.663,2760,0.212,26.980
2026-06-23 19:12:24,0.010,181.875,2760,0.212,26.981
2026-06-23 19:12:24,0.017,176.590,2760,0.215,26.983
2026-06-23 19:12:24,0.013,46.915,2760,0.221,26.981
2026-06-23 19:12:24,0.014,133.893,2640,0.223,26.980
2026-06-23 19:12:24,0.017,45.117,2640,0.222,26.974
2026-06-23 19:12:24,0.011,45.684,2640,0.218,26.973
2026-06-23 19:12:24,0.015,182.734,2640,0.221,26.976
2026-06-23 19:12:25,0.013,44.054,2640,0.217,26.975
2026-06-23 19:12:25,0.011,45.755,2760,0.223,26.971
2026-06-23 19:12:25,0.017,138.911,2760,0.219,26.973
2026-06-23 19:12:25,0.014,592.044,2760,0.215,26.975
2026-06-23 19:12:25,0.013,48.244,2760,0.209,26.969
2026-06-23 19:12:25,0.014,46.744,2760,0.214,26.968
2026-06-23 19:12:25,0.013,45.488,2760,0.219,26.970
2026-06-23 19:12:25,0.017,49.479,2760,0.216,26.970
2026-06-23 19:12:25,0.010,140.244,2760,0.214,26.969
2026-06-23 19:12:25,0.011,364.775,2760,0.215,26.967
2026-06-23 19:12:26,0.011,178.486,2760,0.215,26.963
2026-06-23 19:12:26,0.019,44.743,2640,0.220,26.963
2026-06-23 19:12:26,0.013,49.330,2640,0.216,26.963
2026-06-23 19:12:26,0.013,45.403,2640,0.214,26.966
2026-06-23 19:12:26,0.011,139.448,2640,0.215,26.963
