Time,Vibration,FFT,RPM,Current,Temperature
2026-06-23 16:49:00,0.014,561.847,0,0.222,35.962
2026-06-23 16:49:00,0.018,46.592,0,0.217,35.954
2026-06-23 16:49:00,0.011,45.541,0,0.213,35.945
2026-06-23 16:49:00,0.015,555.596,0,0.214,35.938
2026-06-23 16:49:00,0.011,141.452,0,0.212,35.931
2026-06-23 16:49:00,0.011,46.970,2760,0.214,35.927
2026-06-23 16:49:00,0.014,135.143,2760,0.212,35.926
2026-06-23 16:49:01,0.011,46.049,2760,0.216,35.919
2026-06-23 16:49:01,0.011,46.112,2760,0.215,35.913
2026-06-23 16:49:01,0.015,560.480,2760,0.213,35.922
2026-06-23 16:49:01,0.011,46.602,2760,0.219,35.918
2026-06-23 16:49:01,0.013,44.031,2760,0.215,35.916
2026-06-23 16:49:01,0.011,46.298,2760,0.214,35.912
2026-06-23 16:49:01,0.011,45.262,2760,0.212,35.909
2026-06-23 16:49:01,0.017,45.681,2760,0.216,35.913
2026-06-23 16:49:01,0.011,48.329,2760,0.217,35.907
2026-06-23 16:49:01,0.010,47.897,2760,0.219,35.907
2026-06-23 16:49:02,0.011,46.052,2760,0.216,35.908
2026-06-23 16:49:02,0.011,46.923,2760,0.218,35.907
2026-06-23 16:49:02,0.013,139.516,2760,0.210,35.899
2026-06-23 16:49:02,0.013,558.266,2760,0.212,35.899
2026-06-23 16:49:02,0.011,139.712,2760,0.209,35.901
2026-06-23 16:49:02,0.010,45.803,2760,0.209,35.897
2026-06-23 16:49:02,0.011,44.754,2760,0.209,35.897
2026-06-23 16:49:02,0.013,47.696,2760,0.217,35.896
2026-06-23 16:49:02,0.011,46.180,2760,0.215,35.894
2026-06-23 16:49:03,0.018,47.460,2760,0.215,35.893
2026-06-23 16:49:03,0.011,45.709,2760,0.216,35.892
2026-06-23 16:49:03,0.011,47.801,2760,0.212,35.894
2026-06-23 16:49:03,0.011,47.005,2760,0.215,35.894
2026-06-23 16:49:03,0.017,140.025,2880,0.216,35.899
2026-06-23 16:49:03,0.015,47.501,2880,0.208,35.907
2026-06-23 16:49:03,0.011,47.116,2880,0.203,35.913
2026-06-23 16:49:03,0.013,45.791,2880,0.205,35.927
2026-06-23 16:49:03,0.013,47.197,2880,0.208,35.943
2026-06-23 16:49:03,0.011,46.377,2760,0.213,35.964
